species,FUSE_min,FUSE_max,FUSE_mean,FUSE_median,FUSE_sd,FUn_min,FUn_max,FUn_mean,FUn_median,FUn_sd,FSp_min,FSp_max,FSp_mean,FSp_median,FSp_sd,FUSE,FUSE_alt,FUGE,FDGE,FSGE,FUS,FUn_std,FSp_std,FDist_std,FUSE_rank
Delphinus capensis,Inf,-Inf,NA,NA,NA,6.096905269198829e-5,0.910035655128355,0.25721433044189584,0.2060248456555917,0.1876419714076366,0.1100119034778728,0.31340224886674056,0.17988000461170373,0.17339128088126698,0.03475813299464847,NA,NA,NA,NA,NA,0.6128603056896593,0.3907743691691609,0.22208593652049835,0.15244707849264102,NA
Delphinus delphis,0,0,0,0,0,0,1,0.25414471019619683,0.2046897746744152,0.22726907724841677,0,0.9416332122819924,0.16590856360492387,0.1337467978960244,0.11123487150792086,0,0,0,0,0,0.5187839330872138,0.2071458477265196,0.3116380853606942,0.2711627404006603,142
Dermochelys coriacea,0.5911401751168861,2.0928797551476825,1.266985467652093,1.2370267897304807,0.24968219110377088,0.0298411598786691,1,0.2916491046226793,0.2707403570880401,0.19797586772503356,0.29221709930936607,0.9320316208082876,0.6535755536242768,0.6452018063833164,0.08602358658967263,1.6438560350713414,1.2669965106696912,0.835359036487917,0.8344999732295169,0.8084969985834245,1.275086812371558,0.652820854599777,0.6222659577717811,0.6518309338232359,18
Dipturus batis,1.0238242713814725,2.56727744208725,1.7535911598161396,1.768061826962818,0.3565553019105303,0,0.7057301204292068,0.27509405716418234,0.24959833943253876,0.1768329023558077,0.3704513924192915,0.614567627549389,0.48041186098384153,0.4775091866182698,0.07072000522454229,0.9538354321690604,0.8253717631850824,0.2833925278468652,0.5952491856222705,0.6704429043221951,0.32068231057426966,0.08190654745029886,0.2387757631239708,0.2033706956244358,NA
Dissostichus mawsoni,Inf,-Inf,NA,NA,NA,0.0058028607286855,1,0.3284205439352335,0.225756641161818,0.3004010086669989,0.14255171541213682,1,0.46652036112021794,0.4022302980446641,0.2524286247052737,NA,NA,NA,NA,NA,0.4141621586267816,0.07184931042036664,0.34231284820641494,0.1856365702846808,NA
Dosidicus gigas,Inf,-Inf,NA,NA,NA,0.03712497946952644,0.2447000091807607,0.14707341616571143,0.10071374368996272,0.08111234620600802,0,0.05339577751245555,0.01206258681553337,0,0.01566098484661669,NA,NA,NA,NA,NA,0.21598838801409584,0.09206403711222828,0.12392435090186756,0.0315371198099094,NA
Dugong dugon,0.8746300402247658,1.3827902124881726,1.1333684552039804,1.150225575481206,0.11667579080943952,0.07282458741095416,0.3682009663689321,0.2434303285482238,0.2509997730067606,0.07819567938547427,0.3730505763923635,0.722341840274146,0.5529108074678016,0.5726436558631472,0.07147543020683819,1.542534728186686,1.2694261009976988,1.0986122886681098,0.9191428793136605,0.4439224395185763,1.2794047894558982,1,0.27940478945589814,0.7535702733521097,NA
Elagatis bipinnulata,0,0,0,0,0,0,1,0.27297275184825787,0.3689869221827719,0.2179723794706399,0.03898286613699042,0.3193659671598079,0.1161186941310698,0.1005171520676346,0.07178504564332229,0,0,0,0,0,0.31171065171807116,0.11236777149588743,0.19934288022218372,0.07482768411317121,142
Eleutheronema tetradactylum,Inf,-Inf,NA,NA,NA,0.00554993477517725,0.29101436156240995,0.232994362359882,0.2765553842328865,0.10252965429612997,0.59219211075428,0.6342793610401487,0.6075166926740327,0.6113924071905633,0.01385546405739357,NA,NA,NA,NA,NA,0.9369752106207652,0.3083429209608504,0.6286322896599147,0.42753717272650865,NA
Enhydra lutris,1.1083539246056795,2.464312175668825,1.702996843960225,1.5987461133290246,0.35893730887666386,0.02946298790120654,0.821557766309007,0.26443402079951256,0.1681193868669847,0.21892151472111193,0.5040134501020653,1,0.7583653383926542,0.7926211765770446,0.12556518607095557,1.839874898639576,1.3918505198485376,0.9599596976881498,0.9554330293690746,0.8799152009514262,1.0074288304074384,0.5371970727128059,0.4702317576946325,0.5332653757605902,5
Enteroctopus dofleini,0,0,0,0,0,0.03712497946952644,0.4663443800897489,0.0846714807718865,0.03712497946952644,0.1268768075253357,0.19624918166319025,0.2511455690852858,0.20854340134293117,0.19866576935292415,0.01545414897375645,0,0,0,0,0,0.4300508847888145,0.16459078022419363,0.2654601045646208,0.1826467390202007,142
Epinephelus chabaudi,0,0,0,0,0,0.02246587089474812,0.9069481534831588,0.28181452668512014,0.24657940484843363,0.2154531240737257,0.5171558964504267,0.7175490137005207,0.6046445072121841,0.6169614567896302,0.05728059242985729,0,0,0,0,0,0.7288894426717314,0.3859534376808448,0.34293600499088667,0.3274507667085721,142
Epinephelus daemelii,0.5130100671741866,1.2130171775502447,0.8787402407587425,0.8617405688183044,0.192093492075131,0.0504517693611678,1,0.4409889427120649,0.40848731483331285,0.27279630148906003,0.5710381270980416,0.8497013089643232,0.6993861541626366,0.7091899599876759,0.06673865423198332,0.2585177079621138,0.2585015457019964,7.096691240667564e-5,0.1616306179934472,0.25844674104970716,0.2949881515170952,7.096943061747048e-5,0.2949171820864777,0.1754259799147472,136
Epinephelus goreensis,0.3724580262794087,1.0012894963384742,0.7126597141376211,0.713576458944503,0.18301520868692503,0.02736815719907953,0.9034969982656712,0.4375640928776527,0.4400356674210429,0.25858675643891343,0.40045027838905906,0.4962048263205608,0.44181304093006346,0.4354318552561188,0.03079086470805737,0.2949613914920515,0.2801143979848038,0.0788591348771844,0.191369876137258,0.21610225661486707,0.3232811843797653,0.0820518879621514,0.2412292964176139,0.21090725495843685,128
Epinephelus itajara,1.0465439792797946,1.48279091969312,1.3105496325094534,1.343067543827816,0.09725490976353476,0.06853818133599432,0.3725823161925772,0.25758195186951854,0.2703311686894154,0.06709197110307905,0.6037165483648939,0.7990655742760424,0.7303818400230618,0.763480388108816,0.06184694690920925,0.9664436715851508,0.8111261638551558,0.4136000640899206,0.4418390692858268,0.55284360749523,0.625220462692547,0.2561261009830979,0.3690943617094491,0.2777826910207976,NA
Epinephelus lanceolatus,Inf,-Inf,NA,NA,NA,0.0329616453753556,1,0.41775556422034155,0.3486998068468387,0.2510867776126935,0.27282790953565705,0.6749952555529901,0.48883287068144865,0.5042885920765242,0.07519496418308252,NA,NA,NA,NA,NA,0.4346496356292643,0.2317592738396788,0.20289036178958544,0.20221827641857076,NA
